model,params,NLL / day,AIC,AICc,BIC,dAICc,dBIC
"SARIMA(4,1,4)(2,0,2)[5]",14,1.582115395611822,5979.918118291674,5980.143198677526,6057.471941901888,0.0,33.3752350240602
"SARIMA(5,1,5)(1,0,1)[5]",14,1.5830884754857328,5983.578844777327,5983.803925163179,6061.132668387541,3.660726485652958,37.03596150971316
"SARIMA(2,1,2)(1,0,1)[5]",8,1.586430627259609,5984.152019750649,5984.228942827572,6028.4684903850575,4.085744150045684,4.371783507229338
"SARIMA(2,1,2)(2,0,1)[5]",9,1.5860727239270072,5984.805587413401,5984.9017926512415,6034.66161687711,4.758593973715506,10.564909999281554
"SARIMA(3,1,3)(1,0,0)[5]",9,1.586101344926573,5984.913259613768,5985.009464851609,6034.769289077477,4.866266174082739,10.672582199648788
"SARIMA(3,1,3)(0,0,1)[5]",9,1.5861285345910858,5985.015547131665,5985.111752369506,6034.871576595374,4.9685536919796505,10.774869717545698
"SARIMA(2,1,2)(1,0,2)[5]",9,1.5861335658333686,5985.034474665133,5985.1306799029735,6034.890504128842,4.987481225447482,10.79379725101353
"SARIMA(2,1,2)(0,0,1)[5]",7,1.5872726727997664,5985.319795072721,5985.379592189645,6024.096706877828,5.236393512119321,0.0
"SARIMA(2,1,2)(2,0,2)[5]",10,1.585826309467545,5985.878576216905,5985.996223275728,6041.274164509915,5.853024598201955,17.17745763208677
"SARIMA(3,1,2)(1,0,1)[5]",9,1.5864117306508134,5986.08093070836,5986.177135946201,6035.936960172069,6.03393726867489,11.840253294240938
"SARIMA(2,1,3)(1,0,1)[5]",9,1.586420279815994,5986.113092667769,5986.20929790561,6035.969122131478,6.066099228083658,11.872415253649706
"SARIMA(4,1,4)(1,0,1)[5]",12,1.5848342987305744,5986.146631824421,5986.313655379025,6052.621337776033,6.170456701498551,28.524630898205032
"SARIMA(2,1,2)(1,0,0)[5]",7,1.587542539238684,5986.335032615929,5986.394829732853,6025.111944421036,6.25163105532738,1.015237543208059
"SARIMA(3,1,2)(0,0,1)[5]",8,1.5870233000578755,5986.381654817727,5986.45857789465,6030.698125452136,6.315379217124246,6.6014185743079
"SARIMA(3,1,2)(2,0,1)[5]",10,1.5860349473713415,5986.663472010987,5986.78111906981,6042.059060303997,6.637920392284286,17.962353426169102
"SARIMA(2,1,3)(2,0,1)[5]",10,1.5860383706954375,5986.676350556236,5986.793997615059,6042.071938849246,6.650798937533182,17.975231971417998
"SARIMA(3,1,3)(1,0,1)[5]",10,1.5860937672030593,5986.884752217909,5987.002399276733,6042.28034051092,6.859200599206815,18.18363363309163
"SARIMA(3,1,3)(2,0,0)[5]",10,1.5860990073283356,5986.904465569199,5987.022112628022,6042.300053862209,6.8789139504960986,18.203346984380914
"SARIMA(3,1,4)(1,0,0)[5]",10,1.5861000717045008,5986.908469752332,5987.026116811156,6042.304058045343,6.882918133629573,18.20735116751439
"SARIMA(4,1,3)(1,0,0)[5]",10,1.5861003998434509,5986.909704211063,5987.027351269886,6042.305292504073,6.8841525923598965,18.208585626244712
"SARIMA(3,1,2)(1,0,2)[5]",10,1.586100565839497,5986.910328688189,5987.0279757470125,6042.3059169812,6.884777069486518,18.209210103371333
"SARIMA(2,1,3)(1,0,2)[5]",10,1.586103134220803,5986.919990938661,5987.037637997484,6042.315579231671,6.89443931995811,18.21887235384293
"SARIMA(3,1,3)(0,0,2)[5]",10,1.5861170746318274,5986.972434764934,5987.090081823758,6042.368023057945,6.946883146231812,18.271316180116628
"SARIMA(3,1,4)(0,0,1)[5]",10,1.5861274927299045,5987.011627649901,5987.129274708725,6042.407215942912,6.986076031198536,18.31050906508335
"SARIMA(4,1,3)(0,0,1)[5]",10,1.586127803330986,5987.012796131169,5987.130443189993,6042.40838442418,6.987244512466532,18.311677546351348
"SARIMA(2,1,3)(0,0,1)[5]",8,1.5872105319302727,5987.086021121686,5987.162944198609,6031.402491756095,7.019745521082768,7.305784878266422
"SARIMA(3,1,2)(1,0,0)[5]",8,1.587247311654319,5987.224386443549,5987.301309520472,6031.540857077957,7.158110842945462,7.4441502001291155
"SARIMA(4,1,4)(2,0,1)[5]",13,1.5845689649741932,5987.1484462329145,5987.343411417703,6059.162711013828,7.200212740176539,35.06600413599972
"SARIMA(2,1,2)(0,0,2)[5]",8,1.587266402374358,5987.296205732335,5987.373128809258,6031.612676366744,7.229930131731635,7.515969488915289
"SARIMA(4,1,4)(1,0,2)[5]",13,1.584585976539012,5987.212443739763,5987.407408924551,6059.226708520677,7.264210247025403,35.13000164284858
"SARIMA(3,1,2)(2,0,2)[5]",11,1.585777399997073,5987.694578788989,5987.8358307954095,6048.629725911301,7.692632117883477,24.53301903347256
"SARIMA(5,1,5)(0,0,1)[5]",13,1.5847003212141064,5987.642608407468,5987.837573592256,6059.656873188382,7.694374914730361,35.56016631055354
"SARIMA(2,1,3)(2,0,2)[5]",11,1.5857942161161065,5987.757841028792,5987.899093035212,6048.692988151103,7.755894357685975,24.596281273275054
"SARIMA(3,1,5)(1,0,0)[5]",11,1.5858078601188828,5987.809169767237,5987.950421773658,6048.744316889549,7.807223096131565,24.647610011720644
"SARIMA(5,1,3)(1,0,0)[5]",11,1.5858392349644257,5987.927201936169,5988.068453942589,6048.8623490584805,7.925255265063242,24.76564218065232
"SARIMA(3,1,5)(0,0,1)[5]",11,1.5858446466752147,5987.947560792158,5988.088812798578,6048.882707914469,7.945614121052131,24.78600103664121
"SARIMA(2,1,3)(1,0,0)[5]",8,1.5874813171141562,5988.104714983456,5988.181638060379,6032.4211856178645,8.03843938285263,8.324478740036284
"SARIMA(4,1,2)(1,0,1)[5]",10,1.586411627070481,5988.0805410391495,5988.198188097973,6043.47612933216,8.054989420446873,19.37942245433169
"SARIMA(5,1,3)(0,0,1)[5]",11,1.5858740645661284,5988.058230897776,5988.199482904196,6048.993378020087,8.056284226669959,24.89667114225904
"SARIMA(2,1,4)(1,0,1)[5]",10,1.5864202786941295,5988.113088447315,5988.230735506138,6043.508676740325,8.087536828612429,19.411969862497244
"SARIMA(4,1,5)(1,0,1)[5]",13,1.584812377153827,5988.064162852697,5988.259128037485,6060.078427633611,8.11592935995941,35.98172075578259
"SARIMA(4,1,2)(0,0,1)[5]",9,1.5869957657255742,5988.27807065961,5988.374275897451,6038.13410012332,8.231077219925282,14.03739324549133
"SARIMA(2,1,2)(2,0,0)[5]",8,1.5875367019132764,5988.313072597746,5988.389995674669,6032.629543232155,8.246796997143065,8.532836354326719
"SARIMA(3,1,2)(0,0,2)[5]",9,1.5870143248401791,5988.347890048754,5988.444095286595,6038.203919512464,8.300896609069241,14.107212634635289
"SARIMA(3,1,3)(2,0,1)[5]",11,1.5860315078739284,5988.650532621718,5988.791784628139,6049.58567974403,8.648585950612869,25.488972866201948
"SARIMA(4,1,2)(2,0,1)[5]",11,1.5860344155995345,5988.661471485449,5988.802723491869,6049.59661860776,8.659524814343058,25.499911729932137
"SARIMA(2,1,4)(2,0,1)[5]",11,1.586037655477465,5988.673659906223,5988.814911912644,6049.608807028535,8.67171323511775,25.51210015070683
"SARIMA(4,1,4)(1,0,0)[5]",11,1.5860436651079564,5988.696268136132,5988.837520142552,6049.631415258444,8.694321465026405,25.534708380615484
"SARIMA(2,1,5)(1,0,1)[5]",11,1.58605811153551,5988.750615596589,5988.89186760301,6049.685762718901,8.748668925483798,25.58905584107288
"SARIMA(3,1,3)(1,0,2)[5]",11,1.5860859298355832,5988.855268041464,5988.996520047885,6049.790415163776,8.853321370358572,25.69370828594765
"SARIMA(3,1,4)(1,0,1)[5]",11,1.586092174211039,5988.878759381929,5989.020011388349,6049.813906504241,8.876812710823287,25.717199626412366
"SARIMA(4,1,3)(1,0,1)[5]",11,1.5860925335650284,5988.880111271637,5989.021363278058,6049.815258393949,8.878164600531818,25.718551516120897
"SARIMA(3,1,4)(2,0,0)[5]",11,1.586097783479638,5988.899861450399,5989.041113456819,6049.835008572711,8.897914779293387,25.738301694882463
"SARIMA(4,1,3)(2,0,0)[5]",11,1.5860981061382329,5988.901075292032,5989.042327298453,6049.836222414344,8.899128620926604,25.73951553651568
"SARIMA(4,1,2)(1,0,2)[5]",11,1.5861001062966775,5988.908599888102,5989.049851894522,6049.843747010414,8.906653216996347,25.747040132585425
"SARIMA(2,1,4)(1,0,2)[5]",11,1.5861025157573576,5988.917664279179,5989.0589162856,6049.852811401491,8.915717608073464,25.756104523662543
"SARIMA(5,1,5)(1,0,0)[5]",13,1.5850329273261308,5988.893872600904,5989.088837785692,6060.908137381817,8.945639108165778,36.81143050398896
"SARIMA(4,1,4)(0,0,1)[5]",11,1.5861129607204076,5988.956958230174,5989.098210236594,6049.8921053524855,8.955011559068225,25.795398474657304
"SARIMA(2,1,4)(0,0,1)[5]",9,1.5871907515185908,5989.0116072129385,5989.107812450779,6038.867636676648,8.964613773253404,14.770929798819452
"SARIMA(3,1,4)(0,0,2)[5]",11,1.586116206968323,5988.969170614832,5989.110422621252,6049.904317737143,8.967223943725912,25.80761085931499
"SARIMA(4,1,3)(0,0,2)[5]",11,1.5861164815963078,5988.97020376531,5989.11145577173,6049.905350887621,8.968257094204091,25.80864400979317
"SARIMA(2,1,3)(0,0,2)[5]",9,1.5872033755878971,5989.059098961669,5989.15530419951,6038.9151284253785,9.012105521984267,14.818421547550315
"SARIMA(4,1,2)(1,0,0)[5]",9,1.5872061840145475,5989.069664262728,5989.165869500569,6038.925693726437,9.022670823042972,14.82898684860902
"SARIMA(5,1,5)(2,0,2)[5]",16,1.583439424033058,5988.899113212365,5989.190958705927,6077.532054481181,9.047760028401171,53.435347603352966
"SARIMA(3,1,2)(2,0,0)[5]",9,1.5872427948505077,5989.20739422761,5989.303599465451,6039.063423691319,9.160400787925028,14.966716813491075
"SARIMA(2,1,5)(0,0,1)[5]",10,1.5867074740864786,5989.193517513332,5989.311164572156,6044.589105806343,9.16796589462956,20.492398928514376
"SARIMA(3,1,3)(2,0,2)[5]",12,1.5856599972439738,5989.252909631829,5989.419933186433,6055.727615583442,9.276734508906884,31.630908705613365
"SARIMA(4,1,5)(1,0,2)[5]",14,1.584585287511489,5989.209851618221,5989.434932004074,6066.763675228436,9.291733326547728,42.66696835060793
"SARIMA(5,1,5)(0,0,2)[5]",14,1.5846155015086454,5989.323516675524,5989.548597061376,6066.877340285739,9.405398383850295,42.7806334079105
"SARIMA(2,1,5)(2,0,1)[5]",12,1.5857158951138124,5989.463197418162,5989.6302209727655,6055.937903369774,9.487022295239512,31.841196491946
"SARIMA(5,1,5)(2,0,0)[5]",14,1.5846522883918412,5989.461908930107,5989.686989315959,6067.015732540322,9.543790638433164,42.91902566249337
"SARIMA(5,1,4)(0,0,1)[5]",12,1.5857484327718432,5989.585604087674,5989.752627642278,6056.060310039286,9.609428964751714,31.963603161458195
"SARIMA(4,1,5)(1,0,0)[5]",12,1.5857526672592652,5989.601534229356,5989.768557783959,6056.076240180968,9.62535910643328,31.97953330313976
"SARIMA(2,1,5)(1,0,2)[5]",12,1.585769124246193,5989.66344541418,5989.830468968783,6056.138151365792,9.687270291256937,32.04144448796342
"SARIMA(4,1,2)(2,0,2)[5]",12,1.585777245263334,5989.693996680662,5989.861020235266,6056.168702632274,9.717821557739626,32.07199575444611
"SARIMA(3,1,5)(1,0,1)[5]",12,1.5857924709028446,5989.751275536501,5989.918299091105,6056.225981488114,9.775100413578912,32.12927461028539
"SARIMA(2,1,4)(2,0,2)[5]",12,1.5857938888501475,5989.756609854256,5989.923633408859,6056.231315805868,9.780434731333116,32.1346089280396
"SARIMA(3,1,5)(2,0,0)[5]",12,1.585798842846054,5989.775246786856,5989.942270341459,6056.249952738468,9.79907166393332,32.1532458606398
"SARIMA(2,1,5)(1,0,0)[5]",10,1.5868851505355572,5989.861936314766,5989.97958337359,6045.257524607777,9.83638469606376,21.160817729948576
"SARIMA(4,1,5)(0,0,1)[5]",12,1.585814490515287,5989.8341133185095,5990.001136873113,6056.308819270122,9.85793819558694,32.21211239229342
"SARIMA(5,1,4)(1,0,0)[5]",12,1.5858167369825094,5989.8425645282005,5990.009588082804,6056.317270479813,9.866389405277914,32.220563601984395
"SARIMA(5,1,5)(1,0,2)[21]",15,1.584200151044872,5989.760968230808,5990.018340884964,6072.854350670324,9.87514220743833,48.7576437924954
"SARIMA(3,1,5)(0,0,2)[5]",12,1.5858192881412114,5989.852161987237,5990.019185541841,6056.326867938849,9.875986864314656,32.230161061021136
"SARIMA(5,1,3)(1,0,1)[5]",12,1.585825497444744,5989.875521387126,5990.04254494173,6056.3502273387385,9.899346264203814,32.253520460910295
"SARIMA(5,1,4)(2,0,1)[5]",14,1.5847535278640037,5989.842771824382,5990.067852210234,6067.396595434597,9.924653532708362,43.299888556768565
"SARIMA(5,1,3)(2,0,0)[5]",12,1.5858327125435157,5989.902664588706,5990.06968814331,6056.377370540318,9.92648946578356,32.28066366249004
"SARIMA(2,1,4)(1,0,0)[5]",9,1.587454211986353,5990.00274549266,5990.098950730501,6039.858774956369,9.955752052975186,15.762068078541231
"SARIMA(5,1,5)(2,0,1)[21]",15,1.584222849746778,5989.846360747379,5990.103733401535,6072.939743186894,9.96053472400854,48.84303630906561
"SARIMA(5,1,5)(2,0,1)[5]",15,1.5842281674273468,5989.866365861679,5990.123738515835,6072.959748301194,9.980539838308689,48.86304142336576
"SARIMA(5,1,3)(0,0,2)[5]",12,1.5858532774814635,5989.980029885266,5990.1470534398695,6056.454735836878,10.003854762343508,32.35802895904999
"SARIMA(2,1,3)(2,0,0)[5]",9,1.5874757712122225,5990.083851300381,5990.180056538222,6039.93988076409,10.036857860695818,15.843173886261866
"SARIMA(4,1,5)(2,0,1)[5]",14,1.5848241049284142,5990.108282740694,5990.333363126547,6067.662106350909,10.190164449020813,43.565399473081015
"SARIMA(4,1,2)(0,0,2)[5]",10,1.5869858294504204,5990.240690392482,5990.3583374513055,6045.6362786854925,10.215138773779472,21.539571807664288
"SARIMA(5,1,3)(2,0,1)[5]",13,1.5854422559107324,5990.433766736175,5990.628731920963,6062.448031517089,10.485533243437205,38.35132463926038
"SARIMA(4,1,4)(2,0,0)[5]",12,1.5860129586016394,5990.580750259367,5990.7477738139705,6057.055456210979,10.60457513644451,32.95874933315099
"SARIMA(2,1,5)(2,0,2)[5]",13,1.585479940703575,5990.575536926849,5990.770502111637,6062.5898017077625,10.627303434111129,38.49309482993431
"SARIMA(5,1,5)(1,0,2)[5]",15,1.584409925321411,5990.550139059148,5990.807511713304,6073.643521498663,10.664313035777925,49.54681462083499
"SARIMA(4,1,3)(2,0,1)[5]",12,1.5860310595803295,5990.6488461412,5990.815869695804,6057.123552092812,10.67267101827747,33.02684521498395
"SARIMA(3,1,4)(2,0,1)[5]",12,1.586031203698694,5990.649388314487,5990.81641186909,6057.124094266099,10.673213191564171,33.027387388270654
"SARIMA(5,1,4)(1,0,2)[5]",14,1.5849762393921552,5990.680612593288,5990.90569297914,6068.234436203503,10.762494301614424,44.13772932567463
"SARIMA(3,1,4)(1,0,2)[5]",12,1.5860836606646438,5990.84673142039,5991.013754974993,6057.321437372002,10.870556297467374,33.224730494173855
"SARIMA(4,1,3)(1,0,2)[5]",12,1.5860840055304173,5990.84802880543,5991.015052360033,6057.322734757042,10.871853682507208,33.22602787921369
"SARIMA(4,1,4)(0,0,2)[5]",12,1.5861019277459356,5990.91545218021,5991.082475734814,6057.390158131822,10.939277057287654,33.293451253994135
"SARIMA(2,1,2)(1,0,1)[63]",8,1.5882533780801165,5991.009208337398,5991.086131414321,6035.325678971807,10.942932736795228,11.228972093978882
"SARIMA(2,1,4)(0,0,2)[5]",10,1.5871825360281635,5990.980700537952,5991.098347596775,6046.376288830962,10.95514891924904,22.279581953133857
"SARIMA(4,1,2)(2,0,0)[5]",10,1.587201333124357,5991.051415213831,5991.169062272655,6046.447003506842,11.025863595128612,22.350296629013428
"SARIMA(2,1,5)(0,0,2)[5]",11,1.5866744017218537,5991.069099277613,5991.210351284033,6052.004246399924,11.06715260650708,27.90753952209616
"SARIMA(4,1,5)(2,0,2)[5]",15,1.584554383640599,5991.0935912559335,5991.350963910089,6074.186973695449,11.20776523256336,50.09026681762043
"SARIMA(3,1,3)",8,1.5883295189404605,5991.295650254012,5991.372573330935,6035.612120888421,11.22937465340874,11.515414010592394
"SARIMA(5,1,5)(0,0,1)[21]",13,1.585647845526873,5991.207194872096,5991.402160056884,6063.221459653009,11.25896137935797,39.12475277518115
"SARIMA(3,1,4)(2,0,2)[5]",13,1.5856580729834244,5991.245670563642,5991.44063574843,6063.259935344556,11.29743707090438,39.16322846672756
"SARIMA(4,1,3)(2,0,2)[5]",13,1.5856588273929626,5991.248508652326,5991.443473837114,6063.262773433239,11.300275159587729,39.16606655541091
"SARIMA(2,1,2)",6,1.5894731472414898,5991.597979922484,5991.642803828568,6024.83533289829,11.499605151041578,0.7386260204621067
"SARIMA(5,1,5)(1,0,0)[21]",13,1.5857120694380438,5991.44880522592,5991.643770410708,6063.463070006834,11.500571733182367,39.36636312900555
"SARIMA(5,1,4)(2,0,2)[5]",15,1.5846362698733285,5991.401647263461,5991.659019917617,6074.495029702976,11.5158212400911,50.39832282514817
"SARIMA(5,1,4)(1,0,1)[5]",13,1.585718404136777,5991.472636362555,5991.667601547343,6063.4869011434685,11.524402869817097,39.39019426564028
"SARIMA(5,1,4)(0,0,2)[5]",13,1.5857206861606876,5991.481221336507,5991.676186521295,6063.49548611742,11.532987843768751,39.39877923959193
"SARIMA(5,1,2)",9,1.5879195051794794,5991.753178485202,5991.849383723043,6041.609207948911,11.706185045516577,17.512501071082625
"SARIMA(2,1,5)(2,0,0)[5]",11,1.586848908849355,5991.725595091273,5991.866847097694,6052.660742213585,11.723648420167592,28.56403533575667
"SARIMA(4,1,5)(0,0,2)[5]",13,1.5857727323030055,5991.677018923907,5991.871984108695,6063.69128370482,11.728785431168944,39.594576826992125
"SARIMA(3,1,3)(1,0,0)[21]",9,1.5879353150993876,5991.812655403896,5991.908860641737,6041.668684867605,11.765661964211176,17.571977989777224
