date,revision,ticker,name
2005-01-01,2004-12-31,ADBE,Adobe Systems
2005-01-01,2004-12-31,ALTR,Altera
2005-01-01,2004-12-31,AMZN,Amazon.com
2005-01-01,2004-12-31,APCC,American Power Conversion
2005-01-01,2004-12-31,AMGN,Amgen
2005-01-01,2004-12-31,APOL,Apollo Group
2005-01-01,2004-12-31,AAPL,Apple Computer
2005-01-01,2004-12-31,AMAT,Applied Materials
2005-01-01,2004-12-31,ATYT,ATI Technologies
2005-01-01,2004-12-31,BEAS,BEA Systems
2005-01-01,2004-12-31,BBBY,Bed Bath & Beyond
2005-01-01,2004-12-31,BIIB,Biogen
2005-01-01,2004-12-31,BMET,Biomet
2005-01-01,2004-12-31,BRCM,Broadcom
2005-01-01,2004-12-31,CHRW,C.H. Robinson Worldwide
2005-01-01,2004-12-31,CECO,Career Education Corporation
2005-01-01,2004-12-31,CDWC,CDW
2005-01-01,2004-12-31,CEPH,Cephalon
2005-01-01,2004-12-31,CHKP,Check Point Software
2005-01-01,2004-12-31,CHIR,Chiron Corporation
2005-01-01,2004-12-31,CTAS,Cintas
2005-01-01,2004-12-31,CSCO,Cisco Systems
2005-01-01,2004-12-31,CTXS,Citrix Systems
2005-01-01,2004-12-31,CMCSA,Comcast
2005-01-01,2004-12-31,CPWR,Compuware
2005-01-01,2004-12-31,CMVT,Comverse Technology
2005-01-01,2004-12-31,COST,Costco
2005-01-01,2004-12-31,DELL,Dell Computer
2005-01-01,2004-12-31,XRAY,DENTSPLY International
2005-01-01,2004-12-31,DLTR,Dollar Tree
2005-01-01,2004-12-31,EBAY,eBay
2005-01-01,2004-12-31,DISH,EchoStar
2005-01-01,2004-12-31,ERTS,Electronic Arts
2005-01-01,2004-12-31,EXPD,Expeditors International
2005-01-01,2004-12-31,ESRX,Express Scripts
2005-01-01,2004-12-31,FAST,Fastenal Company
2005-01-01,2004-12-31,FHCC,First Health Group
2005-01-01,2004-12-31,FISV,Fiserv
2005-01-01,2004-12-31,FLEX,Flextronics
2005-01-01,2004-12-31,GRMN,Garmin
2005-01-01,2004-12-31,GNTX,Gentex
2005-01-01,2004-12-31,GENZ,Genzyme General
2005-01-01,2004-12-31,GILD,Gilead Sciences
2005-01-01,2004-12-31,HSIC,"Henry Schein, Inc."
2005-01-01,2004-12-31,IACI,IAC/InterActiveCorp
2005-01-01,2004-12-31,INTC,Intel Corporation
2005-01-01,2004-12-31,ISIL,Intersil
2005-01-01,2004-12-31,INTU,Intuit Inc.
2005-01-01,2004-12-31,IVGN,Invitrogen
2005-01-01,2004-12-31,JDSU,JDS Uniphase
2005-01-01,2004-12-31,JNPR,Juniper Networks
2005-01-01,2004-12-31,KLAC,KLA-Tencor
2005-01-01,2004-12-31,LRCX,Lam Research Corporation
2005-01-01,2004-12-31,LAMR,Lamar Advertising Company
2005-01-01,2004-12-31,LVLT,Level 3 Communications
2005-01-01,2004-12-31,LNCR,Lincare
2005-01-01,2004-12-31,LLTC,Linear Technology
2005-01-01,2004-12-31,MRVL,Marvell Technology
2005-01-01,2004-12-31,MXIM,Maxim Integrated Products
2005-01-01,2004-12-31,MEDI,MedImmune
2005-01-01,2004-12-31,MERQ,Mercury Interactive
2005-01-01,2004-12-31,MCHP,Microchip Technology Incorporated
2005-01-01,2004-12-31,MSFT,Microsoft
2005-01-01,2004-12-31,MLNM,Millennium Pharmaceuticals
2005-01-01,2004-12-31,MOLX,Molex
2005-01-01,2004-12-31,NTAP,Network Appliance
2005-01-01,2004-12-31,NXTL,Nextel Communications
2005-01-01,2004-12-31,NVLS,Novellus Systems
2005-01-01,2004-12-31,NVDA,NVIDIA Corporation
2005-01-01,2004-12-31,ORCL,Oracle Corporation
2005-01-01,2004-12-31,PCAR,PACCAR
2005-01-01,2004-12-31,PDCO,Patterson Companies
2005-01-01,2004-12-31,PTEN,Patterson-UTI Energy
2005-01-01,2004-12-31,PAYX,Paychex
2005-01-01,2004-12-31,PSFT,PeopleSoft
2005-01-01,2004-12-31,PETM,PETsMART
2005-01-01,2004-12-31,PIXR,Pixar
2005-01-01,2004-12-31,QLGC,QLogic
2005-01-01,2004-12-31,QCOM,Qualcomm
2005-01-01,2004-12-31,RIMM,Research in Motion
2005-01-01,2004-12-31,ROST,Ross Stores
2005-01-01,2004-12-31,RYAAY,Ryanair
2005-01-01,2004-12-31,SNDK,SanDisk
2005-01-01,2004-12-31,SANM,Sanmina-SCI
2005-01-01,2004-12-31,SEBL,Siebel Systems
2005-01-01,2004-12-31,SIAL,Sigma-Aldrich Corporation
2005-01-01,2004-12-31,SSCC,Smurfit-Stone Container Corporation
2005-01-01,2004-12-31,SPLS,Staples (company)
2005-01-01,2004-12-31,SBUX,Starbucks
2005-01-01,2004-12-31,SUNW,Sun Microsystems
2005-01-01,2004-12-31,SYMC,Symantec
2005-01-01,2004-12-31,SNPS,Synopsys
2005-01-01,2004-12-31,TLAB,Tellabs
2005-01-01,2004-12-31,TEVA,Teva Pharmaceutical Industries
2005-01-01,2004-12-31,VRSN,VeriSign
2005-01-01,2004-12-31,VRTS,Veritas Software
2005-01-01,2004-12-31,WFMI,Whole Foods Market
2005-01-01,2004-12-31,XLNX,Xilinx
2005-01-01,2004-12-31,YHOO,Yahoo!
2005-04-01,2005-03-22,ADBE,Adobe Systems
2005-04-01,2005-03-22,ALTR,Altera
2005-04-01,2005-03-22,AMZN,Amazon.com
2005-04-01,2005-03-22,APCC,American Power Conversion
2005-04-01,2005-03-22,AMGN,Amgen
2005-04-01,2005-03-22,APOL,Apollo Group
2005-04-01,2005-03-22,AAPL,Apple Computer
2005-04-01,2005-03-22,AMAT,Applied Materials
2005-04-01,2005-03-22,ATYT,ATI Technologies
2005-04-01,2005-03-22,BEAS,BEA Systems
2005-04-01,2005-03-22,BBBY,Bed Bath & Beyond
2005-04-01,2005-03-22,BIIB,Biogen
2005-04-01,2005-03-22,BMET,Biomet
2005-04-01,2005-03-22,BRCM,Broadcom
2005-04-01,2005-03-22,CHRW,C.H. Robinson Worldwide
2005-04-01,2005-03-22,CECO,Career Education Corporation
2005-04-01,2005-03-22,CDWC,CDW
2005-04-01,2005-03-22,CEPH,Cephalon
2005-04-01,2005-03-22,CHKP,Check Point Software
2005-04-01,2005-03-22,CHIR,Chiron Corporation
2005-04-01,2005-03-22,CTAS,Cintas
2005-04-01,2005-03-22,CSCO,Cisco Systems
2005-04-01,2005-03-22,CTXS,Citrix Systems
2005-04-01,2005-03-22,CMCSA,Comcast
2005-04-01,2005-03-22,CPWR,Compuware
2005-04-01,2005-03-22,CMVT,Comverse Technology
2005-04-01,2005-03-22,CTSH,Cognizant Technology Solutions
2005-04-01,2005-03-22,COST,Costco
2005-04-01,2005-03-22,DELL,Dell Computer
2005-04-01,2005-03-22,XRAY,DENTSPLY International
2005-04-01,2005-03-22,DLTR,Dollar Tree
2005-04-01,2005-03-22,EBAY,eBay
2005-04-01,2005-03-22,DISH,EchoStar
2005-04-01,2005-03-22,ERTS,Electronic Arts
2005-04-01,2005-03-22,EXPD,Expeditors International
2005-04-01,2005-03-22,ESRX,Express Scripts
